# ::id 3265000
# ::tok Pareil fait fut également observé le 23 juillet de la même année , dans les mers du Pacifique , par le Cristobal - Colon , de West India and Pacific steam navigation Company .
# ::alignments 0-1.1.4.1 1-1.1.4.2 3-1.1.6 4-1.1.7 6-1.1.8.2.1 7-1.1.8.2.2 8-1.1.8.3.1 10-1.1.8.3.3 11-1.1.8.3.4 13-1.1.9.1 15-1.1.9.3 16-1.1.9.4.1 17-1.1.9.4.2 19-1.1.1.1 21-1.1.1.3 23-1.1.1.3 25-1.1.1.4.1 26-1.1.1.4.2 27-1.1.1.4.2 28-1.1.1.4.2 29-1.1.1.4.2 30-1.1.1.4.2 31-1.1.1.4.2 32-1.1.1.4.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :R (v9 / label~e.19)
                  :C (v10 / label~e.21,23)
                  :E (v11 / label
                          :R (v19 / label~e.25)
                          :C (v20 / label~e.26,27,28,29,30,31,32)))
           :A (v4 / label
                  :E (v12 / label~e.0)
                  :C (v13 / label~e.1))
           :D (v5 / label~e.3)
           :P (v6 / label~e.4)
           :T (v7 / label
                  :C (v14 / label
                          :C (v21 / label~e.6)
                          :C (v22 / label~e.7))
                  :E (v15 / label
                          :R (v23 / label~e.8)
                          :E (v24 / label~e.10)
                          :C (v25 / label~e.11)))
           :A (v8 / label
                  :R (v16 / label~e.13)
                  :C (v17 / label~e.15)
                  :E (v18 / label
                          :R (v26 / label~e.16)
                          :C (v27 / label~e.17)))))
