# ::id 435002
# ::tok On a trouvé quelques - unes de ces dents implantées dans le corps des baleines que le narwal attaque toujours avec succès .
# ::alignments 0-1.1.1 2-1.1.2.2 3-1.1.3.3.1 5-1.1.3.3.1 6-1.1.3.3.2 7-1.1.3.1 8-1.1.3.2 9-1.1.3.4.2 10-1.1.3.4.3.1 11-1.1.3.4.3.2 12-1.1.3.4.3.3 13-1.1.3.4.3.4.1 14-1.1.3.4.3.4.2 15-1.1.3.4.3.4.3.2 16-1.1.3.4.3.4.3.3.1 17-1.1.3.4.3.4.3.3.2 18-1.1.3.4.3.4.3.4 19-1.1.3.4.3.4.3.5 20-1.1.3.4.3.4.3.6.1 21-1.1.3.4.3.4.3.6.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :P (v4 / label
                  :C (v6 / label~e.2))
           :A (v5 / label
                  :E (v7 / label~e.7)
                  :C (v8 / label~e.8)
                  :E (v9 / label
                         :C (v11 / label~e.3,5)
                         :R (v12 / label~e.6))
                  :E (v10 / label
                          :A (v13 / label)
                          :P (v14 / label~e.9)
                          :A (v15 / label
                                  :R (v16 / label~e.10)
                                  :E (v17 / label~e.11)
                                  :C (v18 / label~e.12)
                                  :E (v19 / label
                                          :R (v20 / label~e.13)
                                          :C (v21 / label~e.14)
                                          :E (v22 / label
                                                  :A v21
                                                  :R (v23 / label~e.15)
                                                  :A (v24 / label
                                                          :E (v28 / label~e.16)
                                                          :C (v29 / label~e.17))
                                                  :P (v25 / label~e.18)
                                                  :D (v26 / label~e.19)
                                                  :D (v27 / label
                                                          :R (v30 / label~e.20)
                                                          :C (v31 / label~e.21)))))
                          :A v8))))
