# ::id 793002
# ::tok Des milliers de mouchoirs s’ agitèrent au - dessus de la masse compacte et saluèrent l’ Abraham - Lincoln jusqu’ à son arrivée dans les eaux de l’ Hudson , à la pointe de cette presqu’ île allongée qui forme la ville de New York .
# ::alignments 0-1.1.1.1.1 1-1.1.1.1.2 2-1.1.1.1.3 3-1.3.3 4-1.1.2.1 5-1.1.2.2 6-1.1.3.1.1 8-1.1.3.1.2 9-1.1.3.1.3 10-1.1.3.2 11-1.1.3.3 12-1.1.3.4 13-1.2 14-1.3.1 15-1.3.2.1 16-1.3.2.2 18-1.3.2.2 19-1.4 20-1.4 21-1.5.2 22-1.5.3 23-1.5.1.1 24-1.5.1.3 25-1.5.1.4 26-1.5.1.5.1 27-1.5.1.5.2 28-1.5.1.5.3 30-1.5.1.2.1.1 31-1.5.1.2.1.2 32-1.5.1.2.1.3 33-1.5.1.2.1.4 34-1.5.1.2.2 35-1.5.1.2.5 36-1.5.1.2.6 37-1.5.1.2.3 38-1.5.1.2.4.1 39-1.5.1.2.4.2 40-1.5.1.2.4.3.1 41-1.5.1.2.4.3.2 42-1.5.1.2.4.3.3.1 43-1.5.1.2.4.3.3.2 44-1.5.1.2.4.3.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v7 / label
                  :E (v16 / label
                          :E (v30 / label~e.0)
                          :C (v31 / label~e.1)
                          :R (v32 / label~e.2))
                  :C (v12 / label~e.3))
           :P (v8 / label
                  :E (v17 / label~e.4)
                  :C (v18 / label~e.5))
           :A (v9 / label
                  :R (v19 / label
                          :R (v33 / label~e.6)
                          :C (v34 / label~e.8)
                          :R (v35 / label~e.9))
                  :E (v20 / label~e.10)
                  :C (v21 / label~e.11)
                  :E (v22 / label~e.12)))
    :L (v3 / label~e.13)
    :H (v4 / label
           :P (v10 / label~e.14)
           :A (v11 / label
                   :E (v23 / label~e.15)
                   :C (v24 / label~e.16,18))
           :A v12)
    :L (v5 / label~e.19,20)
    :H (v6 / label
           :A (v13 / label
                   :R (v25 / label~e.23)
                   :E (v26 / label
                           :E (v36 / label
                                   :R (v45 / label~e.30)
                                   :E (v46 / label~e.31)
                                   :C (v47 / label~e.32)
                                   :R (v48 / label~e.33))
                           :E (v37 / label~e.34)
                           :E (v38 / label~e.37)
                           :E (v39 / label
                                   :R (v49 / label~e.38)
                                   :P (v50 / label~e.39)
                                   :A (v51 / label
                                           :E (v52 / label~e.40)
                                           :C (v53 / label~e.41)
                                           :E (v54 / label
                                                   :R (v55 / label~e.42)
                                                   :C (v56 / label~e.43,44)))
                                   :A (v41 / label~e.36))
                           :E (v40 / label~e.35)
                           :C v41)
                   :E (v27 / label~e.24)
                   :C (v28 / label~e.25)
                   :E (v29 / label
                           :R (v42 / label~e.26)
                           :E (v43 / label~e.27)
                           :C (v44 / label~e.28)))
           :A (v14 / label~e.21)
           :P (v15 / label~e.22)))
