# ::id 82001
# ::tok Le capitaine Baker se crut , tout d\u2019 abord , en présence d\u2019 un écueil inconnu ; il se disposait même à en déterminer la situation exacte , quand deux colonnes d\u2019eau , projetées par l\u2019 inexplicable objet , s\u2019 élancèrent en sifflant à cent cinquante pieds dans l\u2019air .
# ::alignments 0-1.1.1.1.1 1-1.1.1.1.2 2-1.1.1.2 3-1.1.2.1.1 4-1.1.2.1.2 6-1.2 7-1.2 8-1.2 10-1.1.2.2 11-1.1.2.3 12-1.1.3.1 13-1.1.3.2 14-1.1.3.3 15-1.1.3.4 17-1.3.1 18-1.3.2.1.1 19-1.3.2.1.2 20-1.3.3 21-1.3.2.2 22-1.3.4 23-1.3.2.3 24-1.3.5.1 25-1.3.5.2 26-1.3.5.3 28-1.4 29-1.5.1.1 30-1.5.1.3 31-1.5.1.4 33-1.5.1.2.1 34-1.5.1.2.2.1 35-1.5.1.2.2.2 36-1.5.1.2.2.3 37-1.5.1.2.2.4 39-1.5.2.1 40-1.5.2.2 41-1.5.2.3.1 42-1.5.2.3.2 43-1.5.3.1 44-1.5.3.3 45-1.5.3.3 46-1.5.3.4 47-1.5.3.2.1 48-1.5.3.2.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v7 / label
                  :E (v18 / label
                          :E (v44 / label~e.0)
                          :C (v45 / label~e.1))
                  :C (v19 / label~e.2))
           :P (v8 / label
                  :E (v20 / label
                          :E (v46 / label~e.3)
                          :C (v47 / label~e.4))
                  :R (v21 / label~e.10)
                  :C (v22 / label~e.11))
           :A (v9 / label
                  :R (v23 / label~e.12)
                  :E (v24 / label~e.13)
                  :C (v25 / label~e.14)
                  :E (v26 / label~e.15)))
    :L (v3 / label~e.6,7,8)
    :H (v4 / label
           :A (v10 / label~e.17)
           :P (v11 / label
                   :E (v27 / label
                           :E (v48 / label~e.18)
                           :C (v49 / label~e.19))
                   :R (v28 / label~e.21)
                   :C (v29 / label~e.23))
           :D (v12 / label~e.20)
           :A (v13 / label~e.22)
           :A (v14 / label
                   :E (v30 / label~e.24)
                   :C (v31 / label~e.25)
                   :E (v32 / label~e.26)))
    :L (v5 / label~e.28)
    :H (v6 / label
           :A (v15 / label
                   :E (v33 / label~e.29)
                   :E (v34 / label
                           :P (v50 / label~e.33)
                           :A (v51 / label
                                   :R (v56 / label~e.34)
                                   :E (v57 / label~e.35)
                                   :E (v58 / label~e.36)
                                   :C (v59 / label~e.37))
                           :A (v35 / label~e.30))
                   :C v35
                   :E (v36 / label~e.31))
           :P (v16 / label
                   :E (v37 / label~e.39)
                   :C (v38 / label~e.40)
                   :E (v39 / label
                           :R (v52 / label~e.41)
                           :C (v53 / label~e.42)))
           :A (v17 / label
                   :R (v40 / label~e.43)
                   :E (v41 / label
                           :R (v54 / label~e.47)
                           :C (v55 / label~e.48))
                   :E (v42 / label~e.44,45)
                   :C (v43 / label~e.46))))
